strain	sample	accession	lineage	city	state	country	host	collection	date	source	authors	url	title	journal	paper_url
PV195-18089-049_LII_Hermon_NY_USA_Ixodes-scapularis_F_Drag_2018-10-14	18089-049		LII	Hermon_NY	New-York	USA	Ixodes-scapularis_F	Drag	2018-10-14	NYSDOH	Vogels et al.				
PV196-15-S13-03_LII_Shelter-Island_NY_USA_Ixodes-scapularis_M_Deer_2016-01-13	15-S13-03		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_M	Deer	2016-01-13	NYSDOH	Vogels et al.				
PV197-15-S26-01_LII_Shelter-Island_NY_USA_Ixodes-scapularis_M_Deer_2016-01-20	15-S26-01		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_M	Deer	2016-01-20	NYSDOH	Vogels et al.				
PV200-15CD63-001_LII_Nassau_NY_USA_Ixodes-scapularis_M_Deer_2015-11-22	15CD63-001		LII	Nassau_NY	New-York	USA	Ixodes-scapularis_M	Deer	2015-11-22	NYSDOH	Vogels et al.				
PV201-16021-231_LII_Clermont_NY_USA_Ixodes-scapularis_M_Drag_2016-10-25	16021-231		LII	Clermont_NY	New-York	USA	Ixodes-scapularis_M	Drag	2016-10-25	NYSDOH	Vogels et al.				
PV202-17091-180_LII_Saratoga-Springs_NY_USA_Ixodes-scapularis_N_Drag_2017-07-20	17091-180		LII	Saratoga-Springs_NY	New-York	USA	Ixodes-scapularis_N	Drag	2017-07-20	NYSDOH	Vogels et al.				
PV203-17021-227_LII_Greenport_NY_USA_Ixodes-scapularis_N_Drag_2017-05-24	17021-227		LII	Greenport_NY	New-York	USA	Ixodes-scapularis_N	Drag	2017-05-24	NYSDOH	Vogels et al.				
PV204-19103-1357_LII_Southampton_NY_USA_Ixodes-scapularis_N_Drag_2019-06-17	19103-1357		LII	Southampton_NY	New-York	USA	Ixodes-scapularis_N	Drag	2019-06-17	NYSDOH	Vogels et al.				
PV205-19119-078_LII_Armonk_NY_USA_Ixodes-scapularis_N_Drag_2019-05-31	19119-078		LII	Armonk_NY	New-York	USA	Ixodes-scapularis_N	Drag	2019-05-31	NYSDOH	Vogels et al.				
PV206-19103-01-001_LII_Shelter-Island_NY_USA_Ixodes-scapularis_M_Deer_2019-01-07	19103-01-001		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-01-07	NYSDOH	Vogels et al.				
PV207-19103-14-001_LII_Shelter-Island_NY_USA_Ixodes-scapularis_M_Deer_2019-01-07	19103-14-001		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-01-07	NYSDOH	Vogels et al.				
PV208-19103-27-001_LII_Shelter-Island_NY_USA_Ixodes-scapularis_M_Deer_2019-01-08	19103-27-001		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-01-08	NYSDOH	Vogels et al.				
PV209-19103-36-003_LII_Shelter-Island_NY_USA_Ixodes-scapularis_F_Deer_2019-01-08	19103-36-003		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_F	Deer	2019-01-08	NYSDOH	Vogels et al.				
PV210-19103-37-002_LII_Shelter-Island_NY_USA_Ixodes-scapularis_M_Deer_2019-01-08	19103-37-002		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-01-08	NYSDOH	Vogels et al.				
PV211-19103-37-004_LII_Shelter-Island_NY_USA_Ixodes-scapularis_F_Deer_2019-01-08	19103-37-004		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_F	Deer	2019-01-08	NYSDOH	Vogels et al.				
PV212-19103-41-001_LII_Shelter-Island_NY_USA_Ixodes-scapularis_M_Deer_2019-01-08	19103-41-001		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_M	Deer	2019-01-08	NYSDOH	Vogels et al.				
PV213-19103-43-001_LII_Shelter-Island_NY_USA_Ixodes-scapularis_F_Deer_2019-01-09	19103-43-001		LII	Shelter-Island_NY	New-York	USA	Ixodes-scapularis_F	Deer	2019-01-09	NYSDOH	Vogels et al.				
PV215-19091-227_LII_Clifton-Park_NY_USA_Ixodes-scapularis_F_Drag_2019-05-31	19091-227		LII	Clifton-Park_NY	New-York	USA	Ixodes-scapularis_F	Drag	2019-05-31	NYSDOH	Vogels et al.				
PV216-19091-231_LII_Clifton-Park_NY_USA_Ixodes-scapularis_M_Drag_2019-05-31	19091-231		LII	Clifton-Park_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-05-31	NYSDOH	Vogels et al.				
PV217-19095-165_LII_North-Blenheim_NY_USA_Ixodes-scapularis_M_Drag_2019-05-30	19095-165		LII	North-Blenheim_NY	New-York	USA	Ixodes-scapularis_M	Drag	2019-05-30	NYSDOH	Vogels et al.				
PV218-13CD01-002_LII_Copake_NY_USA_Ixodes-scapularis_M_Deer_2013-11-16	13CD01-002		LII	Copake_NY	New-York	USA	Ixodes-scapularis_M	Deer	2013-11-16	NYSDOH	Vogels et al.				
PV222-14021-346_LII_Clermont_NY_USA_Ixodes-scapularis_F_Drag_2014-11-25	14021-346		LII	Clermont_NY	New-York	USA	Ixodes-scapularis_F	Drag	2014-11-25	NYSDOH	Vogels et al.				
PV223-14021-358_LII_Clermont_NY_USA_Ixodes-scapularis_M_Drag_2014-11-25	14021-358		LII	Clermont_NY	New-York	USA	Ixodes-scapularis_M	Drag	2014-11-25	NYSDOH	Vogels et al.				
